"","OxyElectrode 1 Last (V)","OxyElectrode 1 Ave. (V)","OxyElectrode 1 Min. (V)","OxyElectrode 1 Max. (V)","OxyElectrode 2 Last (V)","OxyElectrode 2 Ave. (V)","OxyElectrode 2 Min. (V)","OxyElectrode 2 Max. (V)","OxyElectrode 3 Last (V)","OxyElectrode 3 Ave. (V)","OxyElectrode 3 Min. (V)","OxyElectrode 3 Max. (V)"
"186:17:07","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:08","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:09","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:10","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:11","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:12","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:13","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:14","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:15","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:16","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:17","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:18","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:19","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:20","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:21","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:22","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:23","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:17:24","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:25","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:26","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:27","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:28","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:29","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:30","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:31","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:32","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:33","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:34","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:35","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:36","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:37","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:17:38","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:39","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:40","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:41","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:42","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:17:43","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:44","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:45","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:46","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:47","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:48","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:49","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:50","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:17:51","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:52","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:17:53","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:17:54","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:17:55","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:56","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:17:57","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:58","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:17:59","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:00","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:01","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:02","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:03","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:04","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:05","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:06","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:07","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:08","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:09","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:10","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:11","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:12","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:13","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:14","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:15","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:16","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:17","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:18","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:19","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:20","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:21","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:22","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:23","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:24","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:25","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:26","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:27","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:28","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:29","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:30","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:31","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:32","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:33","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:34","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:35","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:36","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:37","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:38","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:39","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:40","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:41","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:42","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:43","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:44","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.57","0.57","0.57","0.57"
"186:18:45","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:18:46","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:18:47","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:48","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:49","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:50","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:51","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:52","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:53","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:54","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:55","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:56","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:18:57","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:18:58","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:18:59","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:00","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:01","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:02","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:03","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:04","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:05","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:06","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:07","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:08","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:09","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:10","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:11","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:12","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:13","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:14","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:15","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:16","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:17","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:18","0.51","0.51","0.51","0.51","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:19","0.51","0.51","0.51","0.51","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:20","0.51","0.51","0.51","0.51","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:21","0.51","0.51","0.51","0.51","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:22","0.51","0.51","0.51","0.51","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:23","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.58","0.58","0.58","0.58"
"186:19:24","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:25","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:26","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:27","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:19:28","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.54","0.54","0.54","0.54"
"186:19:29","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:30","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.55","0.55","0.55","0.55"
"186:19:31","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:19:32","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:33","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.56","0.56","0.56","0.56"
"186:19:34","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:19:35","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:19:36","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:19:37","0.52","0.52","0.52","0.52","0.39","0.39","0.39","0.39","0.53","0.53","0.53","0.53"
"186:19:38","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:19:39","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:40","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.53","0.53","0.53","0.53"
"186:19:41","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:19:42","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:43","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:19:44","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:19:45","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:46","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:19:47","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.53","0.53","0.53","0.53"
"186:19:48","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:19:49","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:19:50","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.53","0.53","0.53","0.53"
"186:19:51","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:19:52","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:53","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:19:54","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:19:55","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:56","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:19:57","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:19:58","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:19:59","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:00","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:01","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:02","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:03","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:04","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:20:05","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:06","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:07","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:08","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:09","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.53","0.53","0.53","0.53"
"186:20:10","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:11","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:12","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.53","0.53","0.53","0.53"
"186:20:13","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:14","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:15","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:16","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:17","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:18","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:19","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:20","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:21","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:20:22","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:23","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:20:24","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:25","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:26","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:27","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:28","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:29","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:30","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:20:31","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:32","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:33","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:20:34","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:35","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:36","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:37","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:20:38","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:39","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:40","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:41","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:42","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:20:43","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:44","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:45","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:46","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:20:47","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:48","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:49","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:50","0.51","0.51","0.51","0.51","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:51","0.51","0.51","0.51","0.51","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:52","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:53","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:20:54","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:20:55","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:20:56","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:20:57","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:58","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:20:59","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:21:00","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:21:01","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:21:02","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:21:03","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.57","0.57","0.57","0.57"
"186:21:04","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:21:05","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:21:06","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.58","0.58","0.58","0.58"
"186:21:07","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.54","0.54","0.54","0.54"
"186:21:08","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.56","0.56","0.56","0.56"
"186:21:09","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
"186:21:10","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:21:11","0.52","0.52","0.52","0.52","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"186:21:12","0.53","0.53","0.53","0.53","0.40","0.40","0.40","0.40","0.59","0.59","0.59","0.59"
